Protein A;Gene A;Protein B;Gene B;Score;PMID
Q99614;TTC1;P62837;UBE2D2;0.081;22939629 
Q96FA3;PELI1;P62837;UBE2D2;0.309;19264966 
Q8N6S5;ARL6IP6;P62837;UBE2D2;0.126;26186194 
Q99728;BARD1;P62837;UBE2D2;0.309;12431996 
Q99933;BAG1;Q1MSW8;TP53;0.126;25036637 
Q96GF1;RNF185;P62837;UBE2D2;0.523;19549727 unassigned1304 
Q96PG8;BBC3;P02768;ALB;0.126;15174051 
Q8NEX1;Q8NEX1;P62837;UBE2D2;0.236;19690564 
Q8NG27;PJA1;P62837;UBE2D2;0.569;12036302 
Q8WV22;NSMCE1;P62837;UBE2D2;0.309;22992278 
Q8WV44;TRIM41;P62837;UBE2D2;0.309;17893151 
Q8WWF5;ZNRF4;P62837;UBE2D2;0.286;19690564 
P62837;UBE2D2;O75312;ZPR1;0.081;22939629 
P62837;UBE2D2;O75886;STAM2;0.309;17588522 
P62837;UBE2D2;O94822;LTN1;0.507;19690564 19196968 
P62837;UBE2D2;O94888;UBXN7;0.081;22939629 
P62837;UBE2D2;O95071;UBR5;0.843;21127351 19287380 26949039 11714696 23027739 
P62837;UBE2D2;P0CG48;UBC;0.772;25801170 22325355 22902369 22496338 
P62837;UBE2D2;O95786;DDX58;0.309;17719635 
P62837;UBE2D2;P00748;F12;0.309;18838541 
P62837;UBE2D2;P04049;RAF1;0.309;11676916 
P62837;UBE2D2;P10636;MAPT;0.309;14612456 
P62837;UBE2D2;P14635;CCNB1;0.309;11739784 
P62837;UBE2D2;P22681;CBL;0.964;27609087 24113870 10514377 22266821 22301280 18632619 20675402 15117950 
P62837;UBE2D2;P25963;NFKBIA;0.309;10329681 
P62837;UBE2D2;P42566;EPS15;0.309;17588522 
P62837;UBE2D2;P46527;CDKN1B;0.332;18805092 19123975 
P62837;UBE2D2;P46934;NEDD4;0.98;23175188 24831002 19193720 26304770 27557663 18632619 9990509 23603909 19953087 26263374 9182527 
P62837;UBE2D2;P61081;UBE2M;0.081;22939629 
P62837;UBE2D2;P61960;UFM1;0.183;19690564 
P62837;UBE2D2;P62081;RPS7;0.183;19549727 
P68036;UBE2L3;P62837;UBE2D2;0.081;22939629 
P78545;ELF3;P62837;UBE2D2;0.183;19549727 
Q04206;RELA;P62837;UBE2D2;0.309;14690596 
Q05086;UBE3A;P62837;UBE2D2;0.925;27902311 9182527 26216987 9990509 7724550 19325566 
Q12899;TRIM26;P62837;UBE2D2;0.286;19549727 
Q13404;UBE2V1;P62837;UBE2D2;0.081;22939629 
Q13618;CUL3;P62837;UBE2D2;0.309;19256485 
Q14139;UBE4A;P62837;UBE2D2;0.286;19690564 
Q15149;PLEC;P62837;UBE2D2;0.236;27173435 unassigned1312 
Q15831;STK11;P62837;UBE2D2;0.309;21860411 
Q15843;NEDD8;P62837;UBE2D2;0.523;17206147 
Q2KHR3;QSER1;P62837;UBE2D2;0.236;27173435 unassigned1312 
Q2M2I8;AAK1;P62837;UBE2D2;0.236;27173435 unassigned1312 
Q4VC31;CCDC58;P62837;UBE2D2;0.081;26344197 
Q68DV7;RNF43;P62837;UBE2D2;0.523;18313049 19690564 
Q86XT4;TRIM50;P62837;UBE2D2;0.49;unassigned1304 21143188 
Q86YT6;MIB1;P62837;UBE2D2;0.507;19690564 25747658 
Q8NHG8;ZNRF2;P62837;UBE2D2;0.183;19690564 
Q8TDB6;DTX3L;P62837;UBE2D2;0.61;19549727 12670957 19818714 
Q8TF42;UBASH3B;P62837;UBE2D2;0.309;17588522 
Q93008;USP9X;P62837;UBE2D2;0.081;22939629 
Q96F44;TRIM11;P62837;UBE2D2;0.416;21143188 
Q96PU5;NEDD4L;P62837;UBE2D2;0.814;19953087 20542005 20064473 27932573 22496338 
Q9BYV6;TRIM55;P62837;UBE2D2;0.286;19549727 
Q9BZR9;TRIM8;P62837;UBE2D2;0.507;19549727 22084099 
Q9C035;TRIM5;P62837;UBE2D2;0.623;19549727 18312418 12878161 
Q9NP87;POLM;P62837;UBE2D2;0.309;17588522 
Q9NRN7;AASDHPPT;P62837;UBE2D2;0.081;26344197 
Q9NYG5;ANAPC11;P62837;UBE2D2;0.941;25306923 11739784 25825779 24930963 25161877 15256223 20383333 
Q9NZS9;BFAR;P62837;UBE2D2;0.597;19549727 21068390 
Q9P2E3;ZNFX1;P62837;UBE2D2;0.183;19549727 
Q9UBF6;RNF7;P62837;UBE2D2;0.507;19549727 24438103 
Q9UGP5;POLL;P62837;UBE2D2;0.309;17588522 
Q9UKT5;FBXO4;P62837;UBE2D2;0.309;10531035 
Q9UKT7;FBXL3;P62837;UBE2D2;0.309;10531035 
Q9UKT8;FBXW2;P62837;UBE2D2;0.309;10531035 
Q9UMX0;UBQLN1;P62837;UBE2D2;0.081;22939629 
Q9Y297;BTRC;P62837;UBE2D2;0.309;10531035 
Q9Y3I1;FBXO7;P62837;UBE2D2;0.309;10531035 
P62841;RPS15;O15151;MDM4;0.21;23874713 
Q8WY64;MYLIP;P62837;UBE2D2;0.309;21685362 
P27348;YWHAQ;O15151;MDM4;0.507;17110929 18356162 16511560 
Q8WZ73;RFFL;P62837;UBE2D2;0.309;23871895 
Q9BYM8;RBCK1;P62837;UBE2D2;0.309;17006537 
Q01085;TIAL1;P62837;UBE2D2;0.081;22939629 
Q96PG8;BBC3;Q92843;BCL2L2;0.126;28514442 
Q9C029;TRIM7;P62837;UBE2D2;0.183;21143188 
Q92997;DVL3;P62837;UBE2D2;0.126;unassigned1312 
Q8TBB1;LNX1;P62837;UBE2D2;0.309;11782429 
Q9BVG3;TRIM62;P62837;UBE2D2;0.309;26488816 
Q9C040;TRIM2;P62837;UBE2D2;0.376;19549727 
Q9H0A0;NAT10;P62837;UBE2D2;0.309;26882543 
Q06587;RING1;P62837;UBE2D2;0.454;19549727 unassigned1304 
Q9H0M0;WWP1;P62837;UBE2D2;0.309;25723849 
Q969K3;RNF34;P62837;UBE2D2;0.309;15069192 
P61927;RPL37;O15151;MDM4;0.21;23874713 
Q9HA38;ZMAT3;P61956;SUMO2;0.183;19394292 
Q59EL1;Q59EL1;P62837;UBE2D2;0.126;19690564 
P62140;PPP1CB;O15151;MDM4;0.21;23277204 
Q5GLZ8;HERC4;P62837;UBE2D2;0.309;22496338 
Q5M7Z0;RNFT1;P62837;UBE2D2;0.126;19690564 
Q5TC82;RC3H1;P62837;UBE2D2;0.309;26489670 
P36873;PPP1CC;O15151;MDM4;0.21;23277204 
P62837;UBE2D2;P35222;CTNNB1;0.033;18805092 
Q12986;NFX1;P62837;UBE2D2;0.126;19690564 
Q13064;MKRN3;O15151;MDM4;0.554;27107012 22493164 unassigned1304 
P62837;UBE2D2;P53804;TTC3;0.309;20059950 
Q13131;PRKAA1;O15151;MDM4;0.309;24190973 
Q13191;CBLB;P62837;UBE2D2;0.309;22158902 
Q13263;TRIM28;P62837;UBE2D2;0.309;20864041 
Q9HA38;ZMAT3;Q15717;ELAVL1;0.126;19322201 
Q9HA38;ZMAT3;P51531;SMARCA2;0.21;20460684 
Q9HA38;ZMAT3;Q13573;SNW1;0.21;12840015 
Q96PG8;BBC3;Q16548;BCL2A1;0.183;16697956 
P62837;UBE2D2;P51668;UBE2D1;0.081;22939629 
Q16829;DUSP7;P62837;UBE2D2;0.033;24656772 
Q1MSW8;TP53;A8K1F4;A8K1F4;0.126;25036637 
Q1MSW8;TP53;O95816;BAG2;0.126;25036637 
Q53FC7;Q53FC7;Q1MSW8;TP53;0.126;25036637 
Q96BE0;Q96BE0;Q1MSW8;TP53;0.126;25036637 
P62837;UBE2D2;P60484;PTEN;0.033;24656772 
P60866;RPS20;O15151;MDM4;0.21;23874713 
Q2KHN1;RNF151;P62837;UBE2D2;0.309;22992278 
P43355;MAGEA1;O15151;MDM4;0.309;25590999 
P43366;MAGEB1;O15151;MDM4;0.21;25590999 
P62837;UBE2D2;P40337;VHL;0.309;22086907 
P62837;UBE2D2;P49736;MCM2;0.126;25963833 
Q969V5;MUL1;P62837;UBE2D2;0.659;19690564 19407830 18213395 
Q96PG8;BBC3;Q8TF42;UBASH3B;0.236;unassigned1304 
Q9Y4L5;RNF115;P62837;UBE2D2;0.74;19690564 unassigned1304 18819927 23418353 
Q9Y3Z3;SAMHD1;Q9HA38;ZMAT3;0.236;26496610 
Q9Y508;RNF114;P62837;UBE2D2;0.681;19549727 26186194 28514442 
P62837;UBE2D2;P36406;TRIM23;0.523;15684077 16413270 
Q96PG8;BBC3;P10415;BCL2;0.554;15694340 11463392 16697956 
Q96PG8;BBC3;P12532;CKMT1B;0.236;unassigned1304 
P41227;NAA10;O15151;MDM4;0.236;unassigned1304 
P51948;MNAT1;O15151;MDM4;0.286;22493164 
Q969F2;NKD2;P62837;UBE2D2;0.236;26186194 28514442 
P48729;CSNK1A1;O15151;MDM4;0.884;16024788 16511560 25825738 21925390 28514442 17110929 23028042 
Q8IUQ4;SIAH1;P62837;UBE2D2;0.757;19690564 19549727 19224863 18536714 
P62837;UBE2D2;O43164;PJA2;0.692;19690564 12036302 
Q8NHY2;RFWD2;P62837;UBE2D2;0.523;16931761 21625211 
P62837;UBE2D2;O43597;SPRY2;0.236;26186194 28514442 
Q96PG8;BBC3;O14964;HGS;0.236;unassigned1304 
O15151;MDM4;O14972;DSCR3;0.236;unassigned1304 
O95073;FSBP;O15151;MDM4;0.454;25384516 
P0CG48;UBC;O15151;MDM4;0.454;17110929 24755078 
P31946;YWHAB;O15151;MDM4;0.692;16511560 16227609 21925390 18356162 
P51668;UBE2D1;O15151;MDM4;0.523;12393902 17301054 
P62258;YWHAE;O15151;MDM4;0.848;16227609 16511560 18356162 
Q9Y620;RAD54B;O15151;MDM4;0.454;25384516 
Q9HA38;ZMAT3;Q8N4V1;MMGT1;0.236;26496610 
Q8N5U6;RNF10;P62837;UBE2D2;0.554;19549727 26186194 28514442 
Q86UW9;DTX2;P62837;UBE2D2;0.236;unassigned1304 
P62837;UBE2D2;P0CG47;UBB;0.236;26186194 28514442 
P62837;UBE2D2;O43567;RNF13;0.286;19690564 
P62837;UBE2D2;O60291;MGRN1;0.286;19549727 
Q6ZSG1;RNF165;P62837;UBE2D2;0.702;19690564 26656854 
Q13064;MKRN3;P62837;UBE2D2;0.286;19549727 
Q00987;MDM2;P62837;UBE2D2;1;22157679 18451149 22301280 21965653 24127580 22902369 19816404 24980433 20705607 19219073 10722742 19372219 24567357 20874444 10562557 23871895 19619542 17159902 18632619 14517261 22989009 16338390 17349959 26025930 18665269 15280377 21084285 11724934 
Q15067;ACOX1;P62837;UBE2D2;0.236;26186194 28514442 
Q13233;MAP3K1;P62837;UBE2D2;0.286;19690564 
Q6Q0C0;TRAF7;P62837;UBE2D2;0.286;19549727 
Q9HAC8;UBTD1;P62837;UBE2D2;0.583;24211586 unassigned1304 
Q8N9I9;DTX3;P62837;UBE2D2;0.286;19549727 
Q96DX4;RSPRY1;P62837;UBE2D2;0.286;19549727 
Q8WVD3;RNF138;P62837;UBE2D2;0.286;19549727 
Q96B67;ARRDC3;P62837;UBE2D2;0.236;unassigned1304 
Q96G75;RMND5B;P62837;UBE2D2;0.286;19690564 
Q9H0F5;RNF38;P62837;UBE2D2;0.659;19549727 23973461 25801170 
Q9BWX1;PHF7;P62837;UBE2D2;0.236;unassigned1304 
Q9BYV2;TRIM54;P62837;UBE2D2;0.236;unassigned1304 
Q9BZY9;TRIM31;P62837;UBE2D2;0.49;19549727 21143188 
Q9NWM3;CUEDC1;P62837;UBE2D2;0.236;unassigned1304 
Q9UBS8;RNF14;P62837;UBE2D2;0.286;19549727 
Q9P0P0;RNF181;P62837;UBE2D2;0.569;19690564 26711259 
Q9ULK6;RNF150;P62837;UBE2D2;0.286;19690564 
Q9Y577;TRIM17;P62837;UBE2D2;0.583;19549727 22493164 21143188 
Q9HA38;ZMAT3;O75569;PRKRA;0.454;25416956 
Q8NA92;THAP8;P62837;UBE2D2;0.236;26186194 28514442 
Q01094;E2F1;O15151;MDM4;0.523;12532331 
Q96PG8;BBC3;O14561;NDUFAB1;0.236;unassigned1304 
Q9HA38;ZMAT3;O14730;RIOK3;0.236;26496610 
Q9NX04;C1ORF109;O15151;MDM4;0.236;unassigned1304 
Q96PG8;BBC3;Q7Z4V0;ZNF438;0.236;unassigned1304 
Q86TM6;SYVN1;P62837;UBE2D2;0.523;21987572 11724934 
Q96PG8;BBC3;Q86VE0;MYPOP;0.236;unassigned1304 
Q9UER7;DAXX;O15151;MDM4;0.236;18566590 
Q9UJV3;MID2;P62837;UBE2D2;0.554;unassigned1304 21143188 
Q9ULV8;CBLC;P62837;UBE2D2;0.523;14661060 20525694 
Q15386;UBE3C;P62837;UBE2D2;0.523;14517261 25723849 
Q03181;PPARD;O15151;MDM4;0.236;26186194 28514442 
Q9HA38;ZMAT3;Q15633;TARBP2;0.416;26186194 28514442 unassigned1304 
Q9HA38;ZMAT3;P22626;HNRNPA2B1;0.692;18519039 
P62837;UBE2D2;P23511;NFYA;0.236;26186194 28514442 
P61964;WDR5;O15151;MDM4;0.236;unassigned1304 
Q96PG8;BBC3;P61964;WDR5;0.236;unassigned1304 
Q04917;YWHAH;O15151;MDM4;0.376;16511560 
Q3V6T2;CCDC88A;P62837;UBE2D2;0.236;27173435 unassigned1312 
Q9BRR0;ZKSCAN3;O15151;MDM4;0.236;unassigned1304 
Q9HA38;ZMAT3;Q08211;DHX9;0.61;18519039 
Q96PG8;BBC3;Q07820;MCL1;0.858;21613222 16697956 15721256 28514442 28202514 15694340 21730980 26186194 
Q96PG8;BBC3;Q07817;BCL2L1;0.731;16697956 19074266 15721256 28202514 15694340 
Q9BTV5;FSD1;P62837;UBE2D2;0.236;26186194 28514442 
Q9BY78;RNF26;P62837;UBE2D2;0.583;19690564 19549727 
Q9HA38;ZMAT3;P62736;ACTA2;0.236;26186194 28514442 
Q9HA38;ZMAT3;Q5H9S7;DCAF17;0.236;26186194 28514442 
Q9HA38;ZMAT3;Q8IYB8;SUPV3L1;0.236;26186194 28514442 
Q9HA38;ZMAT3;Q9BUE6;ISCA1;0.236;26186194 28514442 
Q9HA38;ZMAT3;Q9C0B1;FTO;0.236;26186194 28514442 
Q13616;CUL1;P62837;UBE2D2;0.065;24949976 
Q9HA38;ZMAT3;Q15006;EMC2;0.236;26496610 
Q9HCE7;SMURF1;P62837;UBE2D2;0.436;20804422 25723849 
Q5T0L3;C1ORF111;O15151;MDM4;0.236;26186194 28514442 
Q9HCM9;TRIM39;P62837;UBE2D2;0.61;19549727 unassigned1304 22493164 
Q96PG8;BBC3;Q5TD97;FHL5;0.236;unassigned1304 
Q99496;RNF2;P62837;UBE2D2;0.74;19549727 11513855 unassigned1304 22902369 
P62837;UBE2D2;P19474;TRIM21;0.671;16472766 16297862 19675099 
Q99942;RNF5;P62837;UBE2D2;0.748;14667819 unassigned1304 20152160 19549727 
Q86Y13;DZIP3;P62837;UBE2D2;0.712;19549727 18206970 
Q96EP0;RNF31;P62837;UBE2D2;0.671;26789245 17006537 
Q96EP1;CHFR;P62837;UBE2D2;0.692;19549727 unassigned1304 11912157 
Q14258;TRIM25;P62837;UBE2D2;0.794;19549727 27425606 17418098 22350887 
Q13049;TRIM32;P62837;UBE2D2;0.583;25701873 23408431 21143188 
Q13490;BIRC2;P62837;UBE2D2;0.671;21113135 19258326 11907583 
P78317;RNF4;P62837;UBE2D2;0.832;19690564 25960396 23530056 23560854 19549727 
P62837;UBE2D2;P14373;TRIM27;0.416;19549727 21143188 
P98170;XIAP;P62837;UBE2D2;0.939;25801170 23259674 12525502 11724934 19549727 21113135 
Q9BV68;RNF126;P62837;UBE2D2;0.853;unassigned1304 23277564 23418353 22992278 19549727 
Q9UKV5;AMFR;P62837;UBE2D2;0.692;19690564 19549727 11724934 
Q9UNE7;STUB1;P62837;UBE2D2;0.996;23973223 14612456 19237536 22350907 21518764 11676916 28134249 16275660 15936278 21358815 15911628 20466727 20675402 25684577 
P62837;UBE2D2;O95155;UBE4B;0.671;20696396 21317885 25801170 
O95971;CD160;O15151;MDM4;0.583;25416956 unassigned1304 
P62837;UBE2D2;O43255;SIAH2;0.671;16174773 22065755 19224863 
P10415;BCL2;O15151;MDM4;0.808;19521340 24445145 
P62837;UBE2D2;P15918;RAG1;0.671;12629039 26124138 20122409 
O15151;MDM4;A0A0S2Z6X0;A0A0S2Z6X0;0.332;26871637 
P06400;RB1;O15151;MDM4;0.832;16510145 25703327 
P38936;CDKN1A;O15151;MDM4;0.837;21148311 18086887 
P62837;UBE2D2;O00308;WWP2;0.61;22496338 25723849 25071155 
O15151;MDM4;O14757;CHEK1;0.539;16511572 16163388 
Q9Y4K3;TRAF6;P62837;UBE2D2;0.583;19549727 unassigned1304 
Q9UKV8;AGO2;Q9HA38;ZMAT3;0.569;23085987 
Q96BH1;RNF25;P62837;UBE2D2;0.946;19690564 24901938 28514442 19549727 26186194 14517261 26475854 
Q96CA5;BIRC7;P62837;UBE2D2;0.772;21113135 16729033 22902369 
O15350;TP73;O15151;MDM4;0.539;11223036 21088494 28514442 
P61981;YWHAG;O15151;MDM4;0.948;21148311 22556425 24190973 16511560 16511572 
P62837;UBE2D2;O15151;MDM4;0.681;20705607 24127580 
P62837;UBE2D2;A0AVT1;UBA6;0.772;17580310 17597759 19250909 28134249 
P62837;UBE2D2;P38398;BRCA1;0.772;21113135 19712108 
Q96J02;ITCH;P62837;UBE2D2;0.772;26245901 22496338 11724934 25723849 
Q6ZNA4;RNF111;P62837;UBE2D2;0.814;19690564 19549727 23530056 26656854 
Q7Z6Z7;HUWE1;P62837;UBE2D2;0.772;26393420 26949039 16213503 25723849 
P62837;UBE2D2;O60260;PARK2;0.772;17553932 25375667 20940148 12150907 
P62837;UBE2D2;P62837;UBE2D2;0.801;22582951 20061386 20484052 
P62988;UBA52;P62837;UBE2D2;0.772;20152160 
P62837;UBE2D2;O95628;CNOT4;0.946;19690564 15062086 15001359 11823428 26575292 
Q3YBA8;Q3YBA8;O15151;MDM4;0.61;16511560 16511572 
Q93009;USP7;O15151;MDM4;0.952;18566590 15916963 20713061 
P62837;UBE2D2;O15344;MID1;0.867;unassigned1304 25207814 21143188 25278022 19549727 
Q8ND25;ZNRF1;P62837;UBE2D2;0.787;19690564 19549727 unassigned1304 
Q96FW1;OTUB1;P62837;UBE2D2;0.963;22124327 20725033 28514442 19549727 26186194 unassigned1304 19615732 23287719 22325355 26752685 
Q9Y3C5;RNF11;P62837;UBE2D2;0.928;19690564 unassigned1304 14562029 15231748 19549727 
O15151;MDM4;O15151;MDM4;0.837;24127580 17301054 10218570 24755078 25888903 
P62837;UBE2D2;P22314;UBA1;0.891;17597759 22069333 19250909 11807090 28134249 21041297 
Q96PM5;RCHY1;P62837;UBE2D2;0.925;18006823 21084285 17568776 23449389 24367557 19043414 
Q13489;BIRC3;P62837;UBE2D2;0.972;12525502 21393245 11724934 16547522 23871895 21113135 18784070 11907583 22902369 
P62877;RBX1;P62837;UBE2D2;1;23607312 16751180 25659039 17452440 25278611 27561354 26475525 23455478 24210661 23677995 27641145 21828050 28114281 22215675 27220849 24949976 27001857 21226479 21070969 23387299 20854419 24298020 22334663 23086937 
Q00987;MDM2;O15151;MDM4;1;10827196 10218570 23028042 20705607 21988832 22266850 20484049 25659040 19619542 27621617 21925390 27215386 10608892 18566590 25105592 23946421 25703327 25825738 24755078 11606419 20724842 26359458 25512388 18219319 19432880 17301054 16227609 23671280 28514442 15604276 25809483 22120712 12860999 22333590 22493164 19683495 26001071 20473904 19838211 12370303 24813712 27617579 12874296 12393902 16055726 17616658 17159902 25384516 12483531 
P04637;TP53;O15151;MDM4;1;10827196 26148237 23028042 20705607 18485870 22266850 19153082 19521340 21925390 11223036 22374672 10608892 10075736 23946421 25825738 20515689 9226370 20724842 16024788 21088494 19432880 17301054 16227609 23671280 21075307 28514442 15604276 15916963 26186194 18677113 25464845 21965653 24127580 19075013 19305137 17875722 12370303 25609649 19255450 12874296 12393902 26876197 24659749 22807444 27114532 20174603 24445145 
Q9H6Y7;RNF167;P62837;UBE2D2;0.376;19690564 
Q9P253;VPS18;P62837;UBE2D2;0.309;16996030 
Q9UDY6;TRIM10;P62837;UBE2D2;0.332;21143188 
Q9UK22;FBXO2;P62837;UBE2D2;0.309;12140560 
Q9H8W5;TRIM45;P62837;UBE2D2;0.183;21143188 
Q9H992;MARCH7;P62837;UBE2D2;0.309;24905733 
Q9UNE7;STUB1;Q1MSW8;TP53;0.126;25036637 
Q9UNL4;ING4;P62837;UBE2D2;0.21;17363573 
Q9UPQ4;TRIM35;P62837;UBE2D2;0.376;19549727 
Q9UPQ7;PDZRN3;P62837;UBE2D2;0.309;17576800 
Q9UPT9;USP22;O15151;MDM4;0.376;25547493 
P62837;UBE2D2;O00237;RNF103;0.376;19690564 
P62837;UBE2D2;A6NLP3;TRIM5;0.126;19549727 
Q9UPY3;DICER1;Q9HA38;ZMAT3;0.126;26186194 
Q9HA38;ZMAT3;O95793;STAU1;0.454;25416956 
Q9ULM6;CNOT6;Q9HA38;ZMAT3;0.21;24469038 
Q9HA38;ZMAT3;P05067;APP;0.183;21832049 
Q9HA38;ZMAT3;Q8IUQ4;SIAH1;0.454;25416956 
Q9HA38;ZMAT3;Q15459;SF3A1;0.126;26186194 
P62837;UBE2D2;O00391;QSOX1;0.309;22582951 
O15151;MDM4;O00505;KPNA3;0.21;16511560 
Q9HAU4;SMURF2;P62837;UBE2D2;0.309;25723849 
P62837;UBE2D2;O00635;TRIM38;0.183;21143188 
Q9NS56;TOPORS;P62837;UBE2D2;0.286;19690564 
Q9HBD1;RC3H2;P62837;UBE2D2;0.309;26489670 
Q9NTX7;RNF146;P62837;UBE2D2;0.309;25327252 
Q9NVW2;RLIM;P62837;UBE2D2;0.376;19549727 
P62837;UBE2D2;O14544;SOCS6;0.309;21030588 
P62837;UBE2D2;O14681;EI24;0.332;19549727 
Q9NX47;MARCH5;P62837;UBE2D2;0.309;19741096 
Q9NXI6;RNF186;P62837;UBE2D2;0.376;19690564 
P62837;UBE2D2;O14907;TAX1BP3;0.081;22939629 
Q9Y4B6;VPRBP;P62837;UBE2D2;0.309;20870715 
Q9Y4L5;RNF115;O15151;MDM4;0.454;25416956 
Q9P0J7;KCMF1;P62837;UBE2D2;0.309;15581609 
Q9Y675;SNURF;P62837;UBE2D2;0.236;19690564 
P62837;UBE2D2;O43314;PPIP5K2;0.236;27173435 unassigned1312 
Q9Y6I7;WSB1;P62837;UBE2D2;0.309;27273569 
P62837;UBE2D2;O15033;AREL1;0.309;25723849 
P00519;ABL1;O15151;MDM4;0.376;19075013 
O95273;CCNDBP1;O15151;MDM4;0.126;28514442 
O60934;NBN;O15151;MDM4;0.21;24608433 
P05067;APP;O15151;MDM4;0.183;21832049 
P31947;SFN;O15151;MDM4;0.376;16511572 16511560 
Q8NHY2;RFWD2;O15151;MDM4;0.376;20333547 
P22314;UBA1;O15151;MDM4;0.033;20705607 
P62136;PPP1CA;O15151;MDM4;0.376;23277204 
P42771;CDKN2A;O15151;MDM4;0.21;11297540 
P61077;UBE2D3;O15151;MDM4;0.309;19683495 
P49959;MRE11A;O15151;MDM4;0.21;24608433 
P51531;SMARCA2;O15151;MDM4;0.309;25384516 
Q8N726;CDKN2A;O15151;MDM4;0.21;11297540 
P84022;SMAD3;O15151;MDM4;0.309;12483531 
P62195;PSMC5;O15151;MDM4;0.126;18086887 
P78312;FAM193A;O15151;MDM4;0.126;28514442 
P63104;YWHAZ;O15151;MDM4;0.376;16511560 18356162 
P68871;HBB;O15151;MDM4;0.126;28514442 
Q09472;EP300;O15151;MDM4;0.309;12483531 
Q7L266;ASRGL1;O15151;MDM4;0.126;28514442 
Q13200;PSMD2;O15151;MDM4;0.623;18086887 
Q13485;SMAD4;O15151;MDM4;0.309;12483531 
Q9P2K8;EIF2AK4;O15151;MDM4;0.126;28514442 
Q92878;RAD50;O15151;MDM4;0.21;24608433 
Q96FA3;PELI1;O15151;MDM4;0.126;28514442 
Q9H3D4;TP63;O15151;MDM4;0.523;21088494 
Q96PM5;RCHY1;O15151;MDM4;0.376;20333547 
Q9BYV6;TRIM55;O15151;MDM4;0.126;22493164 
Q9Y6W3;CAPN7;O15151;MDM4;0.183;25416956 
P62837;UBE2D2;O43791;SPOP;0.309;26344096 
P62837;UBE2D2;O43865;AHCYL1;0.081;22939629 
Q76N89;HECW1;P62837;UBE2D2;0.309;25723849 
P62837;UBE2D2;O60232;SSSCA1;0.081;22939629 
P62837;UBE2D2;O60337;MARCH6;0.309;17848550 
P07900;HSP90AA1;O15151;MDM4;0.126;22939624 
P08238;HSP90AB1;O15151;MDM4;0.126;22939624 
Q7Z479;Q7Z479;O15151;MDM4;0.332;25416956 
Q7Z4K8;TRIM46;O15151;MDM4;0.126;22493164 
Q6UWE0;LRSAM1;O15151;MDM4;0.126;22493164 
P62837;UBE2D2;P08708;RPS17;0.332;19549727 
Q6UWE0;LRSAM1;P62837;UBE2D2;0.376;19549727 
P62837;UBE2D2;O75382;TRIM3;0.309;24393003 
O75604;USP2;O15151;MDM4;0.702;19838211 24445145 
Q6PCD5;RFWD3;P62837;UBE2D2;0.554;19690564 19549727 
Q86UD3;MARCH3;P62837;UBE2D2;0.376;19549727 
Q86UW7;CADPS2;P62837;UBE2D2;0.286;19690564 
Q86V48;LUZP1;P62837;UBE2D2;0.236;27173435 unassigned1312 
P62837;UBE2D2;O94874;UFL1;0.126;19690564 
Q1MSW8;TP53;O75807;PPP1R15A;0.126;29109149 
P62837;UBE2D2;O94941;UBOX5;0.376;19549727 
P62837;UBE2D2;O94972;TRIM37;0.332;21143188 
Q86WG3;ATCAY;P62837;UBE2D2;0.033;16275660 
Q86XS8;RNF130;P62837;UBE2D2;0.507;19690564 16549277 
P62837;UBE2D2;O95221;OR5F1;0.126;26186194 
Q86Y01;DTX1;P62837;UBE2D2;0.376;19690564 
P62837;UBE2D2;P10599;TXN;0.081;22939629 
Q8IUD6;RNF135;P62837;UBE2D2;0.309;19484123 
P62837;UBE2D2;O95376;ARIH2;0.376;19549727 
P62837;UBE2D2;O76064;RNF8;0.416;19690564 unassigned1304 
P62837;UBE2D2;O95487;SEC24B;0.236;27173435 unassigned1312 
P62837;UBE2D2;P26442;AMFR;0.126;19549727 
Q96K19;RNF170;P62837;UBE2D2;0.309;25882839 
P62837;UBE2D2;O95677;EYA4;0.126;unassigned1312 
Q96A37;RNF166;P62837;UBE2D2;0.376;19549727 
Q96NR8;RDH12;P62837;UBE2D2;0.126;26186194 
Q96P09;BIRC8;P62837;UBE2D2;0.286;19549727 
O96017;CHEK2;O15151;MDM4;0.309;16163388 
Q96PU4;UHRF2;P62837;UBE2D2;0.376;19690564 
Q96BQ3;TRIM43;P62837;UBE2D2;0.286;19549727 
P62837;UBE2D2;P12318;FCGR2A;0.126;26186194 
Q96PG8;BBC3;P00533;EGFR;0.21;20153921 
Q8N448;LNX2;P62837;UBE2D2;0.309;26451611 
Q96EQ8;RNF125;P62837;UBE2D2;0.376;19549727 

